Data,TDS_mgL,t_anos,doy,vazao_mgd_TDS,vazao_mgd_Chloride,wrtds_fitted_log,wrtds_flow_normalized_log,wrtds_fitted_mgL,wrtds_flow_normalized_mgL,n_efetivo_peso
2022-11-30,764,11.75359342915811,334,8.62681582482705,8.626513423407616,6.5441550150346535,6.538124701429047,695.1690233313777,690.989550543022,49.47986035462297
2022-12-31,766,11.838466803559205,365,9.629893996030331,9.63028138640167,6.5436521776331125,6.551157726468306,694.8195542164882,700.0541760937863,49.39753560158528
2023-01-31,746,11.9233401779603,31,10.231868124803109,10.231814548361312,6.543504190985531,6.559237581300455,694.7167378079012,705.7334250678979,49.11236601788754
2023-02-28,742,12.0,59,9.328925000161597,9.329310744952425,6.55688220432366,6.560775848426581,704.0731129048497,706.8198670002082,48.7516394022137
2023-03-31,680,12.084873374401095,90,9.73021582733813,9.730593903255771,6.547685936038136,6.557547292232868,697.6279488179516,704.541539174498,47.64790146570727
2023-04-30,556,12.167008898015059,120,9.730345220226695,9.73053618174163,6.53563096146352,6.545726534725114,689.2685490420544,696.2623540100719,46.31198534904323
2023-05-31,632,12.251882272416154,151,7.222513128737516,7.222878413686961,6.554988458556292,6.524785813457033,702.7410391300034,681.8337184026963,45.73534781219505
2023-06-30,654,12.334017796030116,181,6.720861842635983,6.720939038243089,6.544137303301246,6.505488132193777,695.1567107920022,668.8020535022459,44.90577271219415
2023-07-31,654,12.41889117043121,212,4.514003476118188,6.1189448441247,6.58130072741595,6.493542988164177,721.4771643106467,660.8606417270361,42.31773390050332
2023-08-31,662,12.503764544832306,243,4.714657277199389,4.714799588900308,6.572866025104376,6.494641215577925,715.4173116585799,661.586815679532,42.73112624953748
2023-09-30,626,12.58590006844627,273,6.118938714842822,6.118797269876406,6.5504201282117895,6.506434892064735,699.5380077398734,669.4355482845151,44.000099038104096
2023-10-31,630,12.670773442847365,304,7.322713257965057,7.322323959014607,6.544529360241737,6.52088888903907,695.4293052379771,679.1818343882101,44.16803977301413
2023-11-30,660,12.752908966461328,334,5.115907274180656,5.116245986261838,6.597451481531947,6.538492811291773,733.2241707516815,691.2439574335874,42.323785561246844
